transaction_id,account_id,transaction_type,amount,currency,transaction_date,description,merchant_name,channel,status,reference_number
18,1011,DEBIT,2200.00,USD,2024-10-18 10:00:00,Rent payment,Harbor View Apts,ONLINE,SETTLED,TXN20241018018
19,1011,CREDIT,6500.00,USD,2024-10-19 12:00:00,Direct deposit payroll,Innovate Solutions,ACH,SETTLED,TXN20241019019
20,1012,CREDIT,800.00,USD,2024-10-20 15:00:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241020020
21,1013,DEBIT,145.00,USD,2024-10-21 12:30:00,Online shopping,Amazon,ONLINE,SETTLED,TXN20241021021
22,1013,DEBIT,540.00,USD,2024-10-22 09:00:00,Health insurance,Blue Cross,ONLINE,SETTLED,TXN20241022022
23,1013,CREDIT,3200.00,USD,2024-10-23 12:00:00,Direct deposit payroll,City School District,ACH,SETTLED,TXN20241023023
24,1014,DEBIT,78.00,USD,2024-10-24 17:30:00,Gym membership,Planet Fitness,ONLINE,SETTLED,TXN20241024024
25,1014,CREDIT,5600.00,USD,2024-10-25 12:00:00,Direct deposit payroll,Pacific Healthcare,ACH,SETTLED,TXN20241025025
26,1015,CREDIT,1500.00,USD,2024-10-26 14:00:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241026026
27,1017,DEBIT,3500.00,USD,2024-10-27 10:00:00,Tuition payment,State University,ONLINE,SETTLED,TXN20241027027
28,1017,CREDIT,8200.00,USD,2024-10-28 12:00:00,Direct deposit payroll,Regional Bank Corp,ACH,SETTLED,TXN20241028028
29,1019,DEBIT,220.00,USD,2024-10-29 11:00:00,Auto insurance,Progressive,ONLINE,SETTLED,TXN20241029029
30,1019,CREDIT,3600.00,USD,2024-10-30 12:00:00,Direct deposit payroll,Downtown Law Firm,ACH,SETTLED,TXN20241030030
31,1020,DEBIT,95.00,USD,2024-11-01 09:00:00,Grocery purchase,Trader Joe's,DEBIT_CARD,SETTLED,TXN20241101031
32,1020,CREDIT,4800.00,USD,2024-11-02 12:00:00,Direct deposit payroll,National Consulting,ACH,SETTLED,TXN20241102032
33,1021,CREDIT,5000.00,USD,2024-11-03 10:00:00,Investment dividend,Fidelity Investments,WIRE,SETTLED,TXN20241103033
34,1022,DEBIT,410.00,USD,2024-11-04 08:30:00,Rent payment,Sunrise Apartments,ONLINE,SETTLED,TXN20241104034
35,1022,CREDIT,2900.00,USD,2024-11-05 12:00:00,Direct deposit payroll,Metro Retail Group,ACH,SETTLED,TXN20241105035
36,1023,DEBIT,67.50,USD,2024-11-06 19:00:00,Restaurant dinner,Olive Garden,DEBIT_CARD,SETTLED,TXN20241106036
37,1024,CREDIT,700.00,USD,2024-11-07 14:30:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241107037
38,1025,DEBIT,1950.00,USD,2024-11-08 10:00:00,Mortgage payment,Community Savings Bank,ONLINE,SETTLED,TXN20241108038
39,1025,CREDIT,6200.00,USD,2024-11-09 12:00:00,Direct deposit payroll,Advanced Engineering,ACH,SETTLED,TXN20241109039
40,1027,DEBIT,5200.00,USD,2024-11-10 11:00:00,Wire transfer,Overseas Holdings Ltd,WIRE,SETTLED,TXN20241110040
41,1027,CREDIT,12000.00,USD,2024-11-11 12:00:00,Direct deposit payroll,Executive Partners LLC,ACH,SETTLED,TXN20241111041
42,1029,DEBIT,330.00,USD,2024-11-12 13:00:00,Online shopping,Best Buy,ONLINE,SETTLED,TXN20241112042
43,1029,CREDIT,4100.00,USD,2024-11-13 12:00:00,Direct deposit payroll,Urban Design Studio,ACH,SETTLED,TXN20241113043
44,1030,DEBIT,55.00,USD,2024-11-14 07:30:00,Coffee and supplies,Dunkin Donuts,MOBILE,SETTLED,TXN20241114044
45,1030,CREDIT,3300.00,USD,2024-11-15 12:00:00,Direct deposit payroll,Midtown Accounting,ACH,SETTLED,TXN20241115045
46,1032,DEBIT,870.00,USD,2024-11-16 10:30:00,Airline ticket,Delta Airlines,ONLINE,SETTLED,TXN20241116046
47,1032,CREDIT,7500.00,USD,2024-11-17 12:00:00,Direct deposit payroll,Global Tech Partners,ACH,SETTLED,TXN20241117047
48,1033,DEBIT,125.00,USD,2024-11-18 15:00:00,Pharmacy purchase,Walgreens,DEBIT_CARD,SETTLED,TXN20241118048
49,1034,DEBIT,2050.00,USD,2024-11-19 10:00:00,Mortgage payment,Heritage Mortgage,ONLINE,SETTLED,TXN20241119049
50,1034,CREDIT,9100.00,USD,2024-11-20 12:00:00,Direct deposit payroll,Summit Capital Group,ACH,SETTLED,TXN20241120050
51,1001,DEBIT,42.15,USD,2024-11-21 08:45:00,Gas station,BP Gas,DEBIT_CARD,SETTLED,TXN20241121051
52,1003,DEBIT,199.99,USD,2024-11-22 14:00:00,Electronics purchase,Apple Store,DEBIT_CARD,SETTLED,TXN20241122052
53,1005,DEBIT,185.00,USD,2024-11-23 11:00:00,Dental appointment,City Dental Group,ONLINE,SETTLED,TXN20241123053
54,1008,DEBIT,320.00,USD,2024-11-24 16:30:00,Home repair,Home Depot,DEBIT_CARD,SETTLED,TXN20241124054
55,1011,DEBIT,445.00,USD,2024-11-25 09:15:00,Car repair,Jiffy Lube,DEBIT_CARD,SETTLED,TXN20241125055
56,1014,DEBIT,55.00,USD,2024-11-26 20:00:00,Movie tickets,AMC Theatres,MOBILE,SETTLED,TXN20241126056
57,1017,DEBIT,980.00,USD,2024-11-27 10:00:00,Property tax,City Tax Office,ONLINE,SETTLED,TXN20241127057
58,1020,DEBIT,140.00,USD,2024-11-28 13:45:00,Grocery purchase,Costco,DEBIT_CARD,SETTLED,TXN20241128058
59,1025,DEBIT,670.00,USD,2024-11-29 11:00:00,Home insurance,State Farm,ONLINE,SETTLED,TXN20241129059
60,1032,DEBIT,290.00,USD,2024-11-30 18:00:00,Hotel booking,Marriott Hotels,ONLINE,SETTLED,TXN20241130060
61,1001,DEBIT,3800.00,USD,2024-12-01 10:00:00,Unusual wire transfer,Unknown Overseas Co,WIRE,PENDING,TXN20241201061
62,1006,CREDIT,2000.00,USD,2024-12-02 14:00:00,Transfer from savings,Internal Transfer,ONLINE,SETTLED,TXN20241202062
63,1009,DEBIT,500.00,USD,2024-12-03 02:14:00,ATM withdrawal unknown location,,ATM,SETTLED,TXN20241203063
64,1015,CREDIT,3000.00,USD,2024-12-04 12:00:00,Transfer from checking,Internal Transfer,ONLINE,SETTLED,TXN20241204064
65,1018,CREDIT,10000.00,USD,2024-12-05 09:30:00,Investment return,Vanguard Funds,WIRE,SETTLED,TXN20241205065
66,1021,DEBIT,250.00,USD,2024-12-06 16:00:00,ATM cash withdrawal,,ATM,SETTLED,TXN20241206066
67,1023,DEBIT,88.00,USD,2024-12-07 11:30:00,Subscription service,Adobe Creative,ONLINE,SETTLED,TXN20241207067
68,1028,CREDIT,5500.00,USD,2024-12-08 12:00:00,Bonus deposit,Executive Partners LLC,ACH,SETTLED,TXN20241208068
69,1031,DEBIT,175.00,USD,2024-12-09 14:30:00,Online shopping,Walmart,ONLINE,SETTLED,TXN20241209069
70,1034,DEBIT,425.00,USD,2024-12-10 10:15:00,Professional services,Legal Associates,ONLINE,SETTLED,TXN20241210070
